SiteID,days_needed,tmean,year,gdd0base,gdd10base,agdd0base,agdd10base
ABBY,2014-01-01,3.71400022506714,2014,3.71400022506714,-0,3.71400022506714,-0
ABBY,2014-01-02,4.79100036621094,2014,4.79100036621094,-0,8.50500059127808,-0
ABBY,2014-01-03,5.70300006866455,2014,5.70300006866455,-0,14.2080006599426,-0
ABBY,2014-01-04,1.6340000629425,2014,1.6340000629425,-0,15.8420007228851,-0
ABBY,2014-01-05,2.08899998664856,2014,2.08899998664856,-0,17.9310007095337,-0
ABBY,2014-01-06,3.58500027656555,2014,3.58500027656555,-0,21.5160009860992,-0
ABBY,2014-01-07,3.72900009155273,2014,3.72900009155273,-0,25.245001077652,-0
ABBY,2014-01-08,4.51200008392334,2014,4.51200008392334,-0,29.7570011615753,-0
ABBY,2014-01-09,5.32300043106079,2014,5.32300043106079,-0,35.0800015926361,-0
ABBY,2014-01-10,4.33500003814697,2014,4.33500003814697,-0,39.4150016307831,-0
ABBY,2014-01-11,7.49000024795532,2014,7.49000024795532,-0,46.9050018787384,-0
ABBY,2014-01-12,5.5930004119873,2014,5.5930004119873,-0,52.4980022907257,-0
ABBY,2014-01-13,5.04700040817261,2014,5.04700040817261,-0,57.5450026988983,-0
ABBY,2014-01-14,4.7330002784729,2014,4.7330002784729,-0,62.2780029773712,-0
ABBY,2014-01-15,5.07100009918213,2014,5.07100009918213,-0,67.3490030765533,-0
ABBY,2014-01-16,6.88300037384033,2014,6.88300037384033,-0,74.2320034503937,-0
ABBY,2014-01-17,6.69700050354004,2014,6.69700050354004,-0,80.9290039539337,-0
ABBY,2014-01-18,6.69100046157837,2014,6.69100046157837,-0,87.6200044155121,-0
ABBY,2014-01-19,5.389000415802,2014,5.389000415802,-0,93.0090048313141,-0
ABBY,2014-01-20,4.05500030517578,2014,4.05500030517578,-0,97.0640051364899,-0
ABBY,2014-01-21,2.97700023651123,2014,2.97700023651123,-0,100.041005373001,-0
ABBY,2014-01-22,3.79100012779236,2014,3.79100012779236,-0,103.832005500793,-0
ABBY,2014-01-23,3.27700018882751,2014,3.27700018882751,-0,107.109005689621,-0
ABBY,2014-01-24,2.53600001335144,2014,2.53600001335144,-0,109.645005702972,-0
ABBY,2014-01-25,3.75000023841858,2014,3.75000023841858,-0,113.395005941391,-0
ABBY,2014-01-26,4.92400026321411,2014,4.92400026321411,-0,118.319006204605,-0
ABBY,2014-01-27,4.33500003814697,2014,4.33500003814697,-0,122.654006242752,-0
ABBY,2014-01-28,0.385000020265579,2014,0.385000020265579,-0,123.039006263018,-0
ABBY,2014-01-29,3.29700016975403,2014,3.29700016975403,-0,126.336006432772,-0
ABBY,2014-01-30,4.68300008773804,2014,4.68300008773804,-0,131.01900652051,-0
ABBY,2014-01-31,3.22200012207031,2014,3.22200012207031,-0,134.24100664258,-0
ABBY,2014-02-01,2.75600004196167,2014,2.75600004196167,-0,136.997006684542,-0
ABBY,2014-02-02,2.84100008010864,2014,2.84100008010864,-0,139.83800676465,-0
ABBY,2014-02-03,1.05800008773804,2014,1.05800008773804,-0,140.896006852388,-0
ABBY,2014-02-04,-0.273000001907349,2014,-0,-0,140.896006852388,-0
ABBY,2014-02-05,-4.0770001411438,2014,-0,-0,140.896006852388,-0
ABBY,2014-02-06,-7.33500051498413,2014,-0,-0,140.896006852388,-0
ABBY,2014-02-07,-9.10200023651123,2014,-0,-0,140.896006852388,-0
ABBY,2014-02-08,-6.264000415802,2014,-0,-0,140.896006852388,-0
ABBY,2014-02-09,-5.29200029373169,2014,-0,-0,140.896006852388,-0
ABBY,2014-02-10,-1.05800008773804,2014,-0,-0,140.896006852388,-0
ABBY,2014-02-11,1.89300012588501,2014,1.89300012588501,-0,142.789006978273,-0
ABBY,2014-02-12,5.69900035858154,2014,5.69900035858154,-0,148.488007336855,-0
ABBY,2014-02-13,7.46000051498413,2014,7.46000051498413,-0,155.948007851839,-0
ABBY,2014-02-14,6.59000015258789,2014,6.59000015258789,-0,162.538008004427,-0
ABBY,2014-02-15,5.64100027084351,2014,5.64100027084351,-0,168.17900827527,-0
ABBY,2014-02-16,5.33600044250488,2014,5.33600044250488,-0,173.515008717775,-0
